timestamp,region,demand,generation
2024-01-01T06,SWPP,30795.0,31244.0
2024-01-01T06,TAL,284.0,350.0
2024-01-01T06,TEN,17473.0,16777.0
2024-01-01T06,TEPC,1511.0,1960.0
2024-01-01T06,TEX,41681.0,41753.0
2024-01-01T06,TIDC,256.0,177.0
2024-01-01T06,TPWR,562.0,442.0
2024-01-01T06,TVA,17473.0,16777.0
2024-01-01T06,US48,427664.0,425604.0
2024-01-01T06,WACM,3737.0,4124.0
2024-01-01T06,WALC,610.0,879.0
2024-01-01T06,WAUW,83.0,60.0
2024-01-01T07,AECI,3045.0,2903.0
2024-01-01T07,AVA,1411.0,745.0
2024-01-01T07,AZPS,3212.0,2248.0
2024-01-01T07,BANC,1685.0,1416.0
2024-01-01T07,BPAT,6584.0,8226.0
2024-01-01T07,CAL,28657.0,22535.0
2024-01-01T07,CAR,24734.0,24649.0
2024-01-01T07,CENT,30539.0,31293.0
2024-01-01T07,CHPD,253.0,1249.0
2024-01-01T07,CISO,23918.0,18614.0
2024-01-01T07,CPLE,7020.0,6439.0
2024-01-01T07,CPLW,594.0,548.0
2024-01-01T07,DOPD,270.0,534.0
2024-01-01T07,DUK,11450.0,12748.0
2024-01-01T07,EPE,834.0,568.0
2024-01-01T07,ERCO,41371.0,41590.0
2024-01-01T07,FLA,20444.0,20355.0
2024-01-01T07,FMPP,1626.0,1553.0
2024-01-01T07,FPC,5486.0,4231.0
2024-01-01T07,FPL,11109.0,11562.0
2024-01-01T07,GCPD,652.0,896.0
2024-01-01T07,GVL,202.0,172.0
2024-01-01T07,HST,40.0,0.0
2024-01-01T07,IID,275.0,584.0
2024-01-01T07,IPCO,1880.0,1372.0
2024-01-01T07,ISNE,11991.0,9923.0
2024-01-01T07,JEA,1465.0,1074.0
2024-01-01T07,LDWP,2531.0,1761.0
2024-01-01T07,LGEE,3908.0,3383.0
2024-01-01T07,MIDA,85006.0,91438.0
2024-01-01T07,MIDW,71655.0,68186.0
2024-01-01T07,MISO,64702.0,61900.0
2024-01-01T07,NE,11991.0,9923.0
2024-01-01T07,NEVP,3926.0,3418.0
2024-01-01T07,NW,40136.0,39846.0
2024-01-01T07,NWMT,1427.0,2654.0
2024-01-01T07,NY,14761.0,13289.0
2024-01-01T07,NYIS,14761.0,13289.0
2024-01-01T07,PACE,5498.0,4969.0
2024-01-01T07,PACW,2300.0,310.0
2024-01-01T07,PGE,2460.0,1171.0
2024-01-01T07,PJM,85006.0,91438.0
2024-01-01T07,PNM,1701.0,1336.0
2024-01-01T07,PSCO,4976.0,5618.0
2024-01-01T07,PSEI,3012.0,1145.0
2024-01-01T07,SC,3097.0,1983.0
2024-01-01T07,SCEG,2573.0,2772.0
2024-01-01T07,SCL,1132.0,431.0
2024-01-01T07,SE,25181.0,26342.0
2024-01-01T07,SEC,234.0,1415.0
2024-01-01T07,SOCO,25181.0,26342.0
2024-01-01T07,SPA,25.0,360.0
2024-01-01T07,SRP,2983.0,7008.0
2024-01-01T07,SW,10859.0,14646.0
2024-01-01T07,SWPP,30514.0,30933.0
2024-01-01T07,TAL,282.0,348.0
2024-01-01T07,TEN,17383.0,16615.0
2024-01-01T07,TEPC,1476.0,1966.0
2024-01-01T07,TEX,41371.0,41590.0
2024-01-01T07,TIDC,248.0,160.0
2024-01-01T07,TPWR,536.0,430.0
2024-01-01T07,TVA,17383.0,16615.0
2024-01-01T07,US48,422717.0,420707.0
2024-01-01T07,WACM,3732.0,4079.0
2024-01-01T07,WALC,653.0,944.0
2024-01-01T07,WAUW,87.0,63.0
2024-01-01T08,AECI,3000.0,2965.0
2024-01-01T08,AVA,1369.0,742.0
2024-01-01T08,AZPS,3157.0,2197.0
2024-01-01T08,BANC,1611.0,1307.0
2024-01-01T08,BPAT,6414.0,8040.0
2024-01-01T08,CAL,27628.0,21736.0
2024-01-01T08,CAR,24614.0,24481.0
2024-01-01T08,CENT,30476.0,30954.0
2024-01-01T08,CHPD,248.0,1049.0
2024-01-01T08,CISO,23066.0,17925.0
2024-01-01T08,CPLE,6956.0,6392.0
2024-01-01T08,CPLW,593.0,541.0
2024-01-01T08,DOPD,264.0,410.0
2024-01-01T08,DUK,11410.0,12706.0
2024-01-01T08,EPE,823.0,553.0
2024-01-01T08,ERCO,41631.0,41673.0
2024-01-01T08,FLA,20165.0,20204.0
2024-01-01T08,FMPP,1602.0,1540.0
2024-01-01T08,FPC,5487.0,4282.0
2024-01-01T08,FPL,10861.0,11379.0
2024-01-01T08,GCPD,648.0,879.0
2024-01-01T08,GVL,202.0,169.0
2024-01-01T08,HST,38.0,0.0
2024-01-01T08,IID,264.0,605.0
2024-01-01T08,IPCO,1855.0,1335.0
2024-01-01T08,ISNE,11927.0,9721.0
2024-01-01T08,JEA,1458.0,1080.0
2024-01-01T08,LDWP,2447.0,1736.0
2024-01-01T08,LGEE,3933.0,3420.0
2024-01-01T08,MIDA,83761.0,89694.0
2024-01-01T08,MIDW,70786.0,67799.0
2024-01-01T08,MISO,63853.0,61414.0
2024-01-01T08,NE,11927.0,9721.0
2024-01-01T08,NEVP,3832.0,3445.0
2024-01-01T08,NW,39119.0,38833.0
2024-01-01T08,NWMT,1406.0,2716.0
2024-01-01T08,NY,14359.0,13039.0
2024-01-01T08,NYIS,14359.0,13039.0
2024-01-01T08,PACE,5434.0,4939.0
2024-01-01T08,PACW,2217.0,299.0
2024-01-01T08,PGE,2369.0,1113.0
2024-01-01T08,PJM,83761.0,89694.0
2024-01-01T08,PNM,1672.0,1328.0
2024-01-01T08,PSCO,4829.0,5681.0
2024-01-01T08,PSEI,2883.0,1056.0
2024-01-01T08,SC,3096.0,1945.0
2024-01-01T08,SCEG,2559.0,2738.0
2024-01-01T08,SCL,1087.0,396.0
2024-01-01T08,SE,25567.0,26657.0
2024-01-01T08,SEC,238.0,1409.0
2024-01-01T08,SOCO,25567.0,26657.0
2024-01-01T08,SPA,26.0,277.0
2024-01-01T08,SRP,2944.0,7012.0
2024-01-01T08,SW,10712.0,14525.0
2024-01-01T08,SWPP,30450.0,30677.0
2024-01-01T08,TAL,279.0,345.0
2024-01-01T08,TEN,17186.0,16428.0
2024-01-01T08,TEPC,1463.0,1964.0
2024-01-01T08,TEX,41631.0,41673.0
2024-01-01T08,TIDC,240.0,163.0
2024-01-01T08,TPWR,519.0,307.0
2024-01-01T08,TVA,17186.0,16428.0
2024-01-01T08,US48,417931.0,415744.0
2024-01-01T08,WACM,3665.0,4057.0
2024-01-01T08,WALC,653.0,899.0
2024-01-01T08,WAUW,80.0,56.0
2024-01-01T09,AECI,2990.0,3064.0
2024-01-01T09,AVA,1334.0,738.0
2024-01-01T09,AZPS,3127.0,2188.0
2024-01-01T09,BANC,1570.0,1383.0
2024-01-01T09,BPAT,6302.0,7993.0
2024-01-01T09,CAL,26788.0,21177.0
2024-01-01T09,CAR,24557.0,24306.0
2024-01-01T09,CENT,30373.0,30730.0
2024-01-01T09,CHPD,242.0,597.0
2024-01-01T09,CISO,22365.0,17478.0
2024-01-01T09,CPLE,6789.0,6380.0
2024-01-01T09,CPLW,599.0,545.0
2024-01-01T09,DOPD,263.0,350.0
2024-01-01T09,DUK,11507.0,12535.0
2024-01-01T09,EPE,808.0,558.0
2024-01-01T09,ERCO,41568.0,41569.0
2024-01-01T09,FLA,19946.0,19936.0
2024-01-01T09,FMPP,1597.0,1531.0
